"YMD","Product1","Product2","Time","Prod1Fitted","ForecastProd1"
20210411,2745721,18522898.4,120,2904538.97844464,3091696.13789851
20210418,3313511,17685042,121,3907675.70972082,2268304.99388823
20210425,3672884,16838722,122,2527835.54258964,2437360.54886296
20210509,3301844,17633905,123,2757101.72466933,2703644.5759085
20210516,3186381,16793883,124,3206113.47273579,3344854.58364753
20210523,3844348,15279398,125,4106220.28200689,2278444.25427279
20210530,2757751,17121414,126,3102389.8901201,2987767.22065001
20210604,2737120,17802055,127,4182727.3749579,3761102.11680346
20210606,2766468,17542163,128,2810676.81803688,2713939.39850428
20210613,3699956,17244183,129,2883673.92926896,3217866.57920715
20210620,4603289,15349891,130,2668768.48399134,2579516.01418745
20210627,2712216,15930745,131,3383000.92733617,3103021.76552208
20210701,2549276,16796651,132,3292886.37958146,3473568.28477804
20210711,2809777,17765472,133,2911152.79077765,2823797.19519339
20210718,3286754,16698284,134,3169462.79109112,2695554.99741456
20210725,3778437,16047657,135,2820237.63555803,2650062.30901483
20210808,3038753,17883195,136,3066470.97707282,3022855.0702151
20210815,3140543,16971010,137,3407810.81221086,3113886.04585708
20210822,3952859.5,16011966,138,4006234.26300616,2843943.92685616
20210829,2526525.5,16443867,139,2710372.59362741,3059867.82572629
20210903,2353334,16116244,140,3034717.65596624,3770274.64320496
20210905,2670257,17316925.3,141,3774180.68824376,2406104.39205453
20210912,3014895,16195213,142,3149236.80770455,2469964.97625844
20210919,4059214,15439642,143,2465132.80227083,2988207.84477246
20210926,2485506,15939366,144,2466226.68788889,2870887.02006273
20211010,2621255,16827546,145,2671881.12205172,3091696.13789851
20211017,2790169,15691199,146,3045160.11927911,2268304.99388823
20211024,3638756,15033132,147,3458494.09805302,2437360.54886296
20211031,2573236,15489036,148,2391105.43101326,2703644.5759085
20211107,3143020,15746982,149,2559674.66565102,3344854.58364753
20211114,2868485,14573748,150,3063073.48694365,2278444.25427279
20211121,3596069,14475004,151,3547891.60799846,2987767.22065001
20211128,2170550,14098208,152,2674571.42414188,3761102.11680346
20211202,2205205,13619346.2,153,3365986.08602967,2713939.39850428
20211205,2394173,15424739,154,3366548.27748798,3217866.57920715
20211212,2557073,14104408,155,3658691.34729187,2579516.01418745
20211219,3649982,13944093,156,2361085.28160597,3103021.76552208
20211226,2095483,14101535,157,2452913.85792257,3473568.28477804
20220109,3390121,13633760.4,158,2215869.14159021,2823797.19519339
20220116,2319907,14254657.4,159,2504855.08320465,2695554.99741456
20220123,2021711,12531338.5,160,2944032.62564161,2650062.30901483
20220130,2116941,13034144,161,2529766.79927975,3022855.0702151
20220206,2229278,13660065,162,2909991.52890381,3113886.04585708
20220213,2419137,13811180,163,3038144.12316504,2843943.92685616
20220220,3969091,13387679,164,2601467.60976481,3059867.82572629
20220227,2306216,13814822,165,2285102.49543629,3770274.64320496
20220303,2123589,14885498,166,2362304.59641483,2406104.39205453
20220306,2918831,14966012.4,167,2601830.69153748,2469964.97625844
20220313,2380599,13812497.2,168,3534237.52382063,2988207.84477246
20220320,3568119,13565127,169,3134339.16959229,2870887.02006273
20220327,2010407,14006472,170,2134584.96923789,3091696.13789851
20220401,2132262,14172432,171,2423331.9803802,2268304.99388823
20220410,2262905,15152021,172,2611577.67094416,2437360.54886296
20220417,2379453,13978301,173,3383411.96493287,2703644.5759085
20220424,3439577,13284126,174,2921976.21442602,3344854.58364753
20220508,2319559,15079720,175,2831646.03432615,2278444.25427279
