"","Time","Product1","Product2","Label","Competidor"
"163",163,1722727,11224078.5,"Real","Competidor 1"
"164",164,2273485,10964586.5,"Real","Competidor 1"
"165",165,1752093,10968054,"Real","Competidor 1"
"166",166,1711662,12210002,"Real","Competidor 1"
"167",167,2211879,12226142.6,"Real","Competidor 1"
"168",168,1749475,11209963.5,"Real","Competidor 1"
"169",169,2051238,10810327,"Real","Competidor 1"
"170",170,1637610,11433867,"Real","Competidor 1"
"171",171,1710449,11498573,"Real","Competidor 1"
"172",172,1750463,12136365,"Real","Competidor 1"
"173",173,1780374,11433778.5,"Real","Competidor 1"
"174",174,1889885,10819595,"Real","Competidor 1"
"175",175,1798562,12266624.5,"Real","Competidor 1"
"176",176,1903134.74690442,11717115.3972551,"Forecast","Competidor 1"
"177",177,2139840.45845479,12258087.0067475,"Forecast","Competidor 1"
"178",178,1879902.45845479,13257959.2441566,"Forecast","Competidor 1"
"179",179,1921753.45845479,13563144.6020059,"Forecast","Competidor 1"
"180",180,1982881.45845479,12871869.0164304,"Forecast","Competidor 1"
"181",181,2366126.45845479,12588351.0268104,"Forecast","Competidor 1"
"182",182,2489743.45845479,12118518.1698124,"Forecast","Competidor 1"
"183",183,2073319.45845479,13144670.890093,"Forecast","Competidor 1"
"184",184,1827529.45845479,12648532.6198735,"Forecast","Competidor 1"
"185",185,1847078.45845479,12402944.1122436,"Forecast","Competidor 1"
"186",186,1944646.45845479,12216692.101735,"Forecast","Competidor 1"
"187",187,2091760.45845479,12489609.4990666,"Forecast","Competidor 1"
"188",188,1955794.45845479,13329147.104527,"Forecast","Competidor 1"
"189",189,1977210.45845479,12410957.7645023,"Forecast","Competidor 1"
"190",190,2189601.45845479,12044420.828249,"Forecast","Competidor 1"
"191",191,1809948.45845479,12790198.9048799,"Forecast","Competidor 1"
"192",192,1719217.55845479,12360874.0677209,"Forecast","Competidor 1"
"193",193,1799704.45845479,12427331.0197954,"Forecast","Competidor 1"
"194",194,1904846.55845479,12182375.9347032,"Forecast","Competidor 1"
"195",195,2277959.45845479,12019637.459068,"Forecast","Competidor 1"
"196",196,1744325.45845479,12034804.3296056,"Forecast","Competidor 1"
"197",197,1814046.65845479,12132836.927166,"Forecast","Competidor 1"
"198",198,1833704.45845479,11577449.2159519,"Forecast","Competidor 1"
"199",199,1881782.65845479,10898746.230535,"Forecast","Competidor 1"
"200",200,1805956.55845479,11097403.9318982,"Forecast","Competidor 1"
"201",201,2097507.45845479,11411895.3846292,"Forecast","Competidor 1"
"202",202,1799814.45845479,11276841.712944,"Forecast","Competidor 1"
"203",203,1944116.45845479,10900244.7349626,"Forecast","Competidor 1"
"204",204,1444862.45845479,10483576.827515,"Forecast","Competidor 1"
"205",205,1495033.45845479,10448098.3285224,"Forecast","Competidor 1"
"206",206,1623463.45845479,11116192.9122371,"Forecast","Competidor 1"
"207",207,1605547.45845479,10313270.9333932,"Forecast","Competidor 1"
"208",208,1942067.45845479,10236717.3359315,"Forecast","Competidor 1"
"209",209,1468140.45845479,10183996.4891212,"Forecast","Competidor 1"
"210",210,1806650.45845479,10318856.9759452,"Forecast","Competidor 1"
"211",211,1680099.45845479,9859024.55076484,"Forecast","Competidor 1"
"212",212,1410530.45845479,9443852.55769093,"Forecast","Competidor 1"
"213",213,1417630.45845479,10020926.88074,"Forecast","Competidor 1"
"214",214,1480369.45845479,10234418.6456755,"Forecast","Competidor 1"
"215",215,1560551.45845479,9824027.34893599,"Forecast","Competidor 1"
"216",216,2111309.45845479,9977771.32801795,"Forecast","Competidor 1"
"217",217,1589917.45845479,9805579.41609637,"Forecast","Competidor 1"
"218",218,1549486.45845479,11354097.1113302,"Forecast","Competidor 1"
"219",219,2049703.45845479,11095315.3420272,"Forecast","Competidor 1"
"220",220,1587299.45845479,10294066.1128487,"Forecast","Competidor 1"
"221",221,1889062.45845479,9823557.96873082,"Forecast","Competidor 1"
"222",222,1475434.45845479,10664877.9612038,"Forecast","Competidor 1"
"223",223,1548273.45845479,10664676.4950837,"Forecast","Competidor 1"
"224",224,1588287.45845479,11539104.5770753,"Forecast","Competidor 1"
"225",225,1618198.45845479,10673005.2078182,"Forecast","Competidor 1"
"226",226,1727709.45845479,10408734.9579239,"Forecast","Competidor 1"
"227",227,1636386.45845479,11560033.6579173,"Forecast","Competidor 1"
"228",176,2716977.92245423,13186361.7788488,"IC_HI","Competidor 1"
"229",177,2986358.98281957,13874396.1346668,"IC_HI","Competidor 1"
"230",178,2726420.98281957,14877296.1040095,"IC_HI","Competidor 1"
"231",179,2768271.98281957,15183946.4648162,"IC_HI","Competidor 1"
"232",180,2829399.98281957,14502396.8896145,"IC_HI","Competidor 1"
"233",181,3212644.98281956,14233792.4051897,"IC_HI","Competidor 1"
"234",182,3336261.98281957,13777703.2850705,"IC_HI","Competidor 1"
"235",183,2919837.98281957,14816043.0702809,"IC_HI","Competidor 1"
"236",184,2674047.98281957,14331728.6765443,"IC_HI","Competidor 1"
"237",185,2693596.98281957,14098073.8960444,"IC_HI","Competidor 1"
"238",186,2791164.98281957,13923793.9280569,"IC_HI","Competidor 1"
"239",187,2938278.98281957,14208601.444361,"IC_HI","Competidor 1"
"240",188,2802312.98281957,15059923.0322511,"IC_HI","Competidor 1"
"241",189,2823728.98281957,14153429.4479346,"IC_HI","Competidor 1"
"242",190,3036119.98281957,13798512.4065735,"IC_HI","Competidor 1"
"243",191,2656466.98281957,14555836.3694222,"IC_HI","Competidor 1"
"244",192,2565736.08281957,14137982.8023797,"IC_HI","Competidor 1"
"245",193,2646222.98281957,14215837.0803481,"IC_HI","Competidor 1"
"246",194,2751365.08281957,13982206.9437219,"IC_HI","Competidor 1"
"247",195,3124477.98281957,13830722.6079303,"IC_HI","Competidor 1"
"248",196,2590843.98281957,13857074.1596154,"IC_HI","Competidor 1"
"249",197,2660565.18281957,13966223.220436,"IC_HI","Competidor 1"
"250",198,2680222.98281957,13421884.9700066,"IC_HI","Competidor 1"
"251",199,2728301.18281957,12754165.640087,"IC_HI","Competidor 1"
"252",200,2652475.08281957,12963742.3572239,"IC_HI","Competidor 1"
"253",201,2944025.98281956,13289089.3152038,"IC_HI","Competidor 1"
"254",202,2646332.98281957,13164828.733406,"IC_HI","Competidor 1"
"255",203,2790634.98281957,12798963.4939626,"IC_HI","Competidor 1"
"256",204,2291380.98281957,12392967.0081272,"IC_HI","Competidor 1"
"257",205,2341551.98281957,12368100.6196084,"IC_HI","Competidor 1"
"258",206,2469981.98281957,13046748.9807748,"IC_HI","Competidor 1"
"259",207,2452065.98281957,12254323.3978538,"IC_HI","Competidor 1"
"260",208,2788585.98281957,12188209.7406856,"IC_HI","Competidor 1"
"261",209,2314658.98281957,12145873.279807,"IC_HI","Competidor 1"
"262",210,2653168.98281957,12291063.4757439,"IC_HI","Competidor 1"
"263",211,2526617.98281957,11841506.9375378,"IC_HI","Competidor 1"
"264",212,2257048.98281957,11436557.841942,"IC_HI","Competidor 1"
"265",213,2264148.98281957,12023802.8843657,"IC_HI","Competidor 1"
"266",214,2326887.98281957,12247413.9814668,"IC_HI","Competidor 1"
"267",215,2407069.98281957,11847091.4007976,"IC_HI","Competidor 1"
"268",216,2957827.98281956,12010854.2318741,"IC_HI","Competidor 1"
"269",217,2436435.98281957,11848632.0414512,"IC_HI","Competidor 1"
"270",218,2396004.98281957,13407071.0434557,"IC_HI","Competidor 1"
"271",219,2896221.98281957,13158162.8647501,"IC_HI","Competidor 1"
"272",220,2433817.98281957,12366740.1919121,"IC_HI","Competidor 1"
"273",221,2735580.98281957,11906012.235705,"IC_HI","Competidor 1"
"274",222,2321952.98281957,12757066.6979234,"IC_HI","Competidor 1"
"275",223,2394791.98281957,12766554.6185899,"IC_HI","Competidor 1"
"276",224,2434805.98281957,13650627.6250412,"IC_HI","Competidor 1"
"277",225,2464716.98281957,12794129.3244385,"IC_HI","Competidor 1"
"278",226,2574227.98281957,12539416.8802497,"IC_HI","Competidor 1"
"279",227,2482904.98281957,13700230.7026174,"IC_HI","Competidor 1"
"280",176,1089291.57135461,10247869.0156613,"IC_LO","Competidor 1"
"281",177,1293321.93409001,10641777.8788282,"IC_LO","Competidor 1"
"282",178,1033383.93409001,11638622.3843038,"IC_LO","Competidor 1"
"283",179,1075234.93409001,11942342.7391955,"IC_LO","Competidor 1"
"284",180,1136362.93409001,11241341.1432463,"IC_LO","Competidor 1"
"285",181,1519607.93409001,10942909.6484311,"IC_LO","Competidor 1"
"286",182,1643224.93409001,10459333.0545544,"IC_LO","Competidor 1"
"287",183,1226800.93409001,11473298.7099051,"IC_LO","Competidor 1"
"288",184,981010.934090007,10965336.5632027,"IC_LO","Competidor 1"
"289",185,1000559.93409001,10707814.3284428,"IC_LO","Competidor 1"
"290",186,1098127.93409001,10509590.275413,"IC_LO","Competidor 1"
"291",187,1245241.93409001,10770617.5537722,"IC_LO","Competidor 1"
"292",188,1109275.93409001,11598371.1768029,"IC_LO","Competidor 1"
"293",189,1130691.93409001,10668486.08107,"IC_LO","Competidor 1"
"294",190,1343082.93409001,10290329.2499245,"IC_LO","Competidor 1"
"295",191,963429.934090007,11024561.4403377,"IC_LO","Competidor 1"
"296",192,872699.034090007,10583765.3330621,"IC_LO","Competidor 1"
"297",193,953185.934090007,10638824.9592428,"IC_LO","Competidor 1"
"298",194,1058328.03409001,10382544.9256844,"IC_LO","Competidor 1"
"299",195,1431440.93409001,10208552.3102057,"IC_LO","Competidor 1"
"300",196,897806.934090007,10212534.4995957,"IC_LO","Competidor 1"
"301",197,967528.134090008,10299450.6338959,"IC_LO","Competidor 1"
"302",198,987185.934090007,9733013.4618972,"IC_LO","Competidor 1"
"303",199,1035264.13409001,9043326.82098308,"IC_LO","Competidor 1"
"304",200,959438.034090007,9231065.50657242,"IC_LO","Competidor 1"
"305",201,1250988.93409001,9534701.45405467,"IC_LO","Competidor 1"
"306",202,953295.934090007,9388854.6924819,"IC_LO","Competidor 1"
"307",203,1097597.93409001,9001525.97596253,"IC_LO","Competidor 1"
"308",204,598343.934090007,8574186.64690276,"IC_LO","Competidor 1"
"309",205,648514.934090007,8528096.03743651,"IC_LO","Competidor 1"
"310",206,776944.934090007,9185636.84369949,"IC_LO","Competidor 1"
"311",207,759028.934090007,8372218.46893247,"IC_LO","Competidor 1"
"312",208,1095548.93409001,8285224.93117747,"IC_LO","Competidor 1"
"313",209,621621.934090007,8222119.69843541,"IC_LO","Competidor 1"
"314",210,960131.934090007,8346650.47614651,"IC_LO","Competidor 1"
"315",211,833580.934090007,7876542.16399191,"IC_LO","Competidor 1"
"316",212,564011.934090007,7451147.27343982,"IC_LO","Competidor 1"
"317",213,571111.934090007,8018050.87711426,"IC_LO","Competidor 1"
"318",214,633850.934090007,8221423.30988432,"IC_LO","Competidor 1"
"319",215,714032.934090007,7800963.29707441,"IC_LO","Competidor 1"
"320",216,1264790.93409001,7944688.42416184,"IC_LO","Competidor 1"
"321",217,743398.934090007,7762526.79074151,"IC_LO","Competidor 1"
"322",218,702967.934090007,9301123.17920471,"IC_LO","Competidor 1"
"323",219,1203184.93409001,9032467.81930424,"IC_LO","Competidor 1"
"324",220,740780.934090007,8221392.03378521,"IC_LO","Competidor 1"
"325",221,1042543.93409001,7741103.70175666,"IC_LO","Competidor 1"
"326",222,628915.934090007,8572689.22448421,"IC_LO","Competidor 1"
"327",223,701754.934090007,8562798.37157761,"IC_LO","Competidor 1"
"328",224,741768.934090007,9427581.52910944,"IC_LO","Competidor 1"
"329",225,771679.934090007,8551881.09119781,"IC_LO","Competidor 1"
