"","V1"
"134",90.6431659332644
"135",90.3560358137938
"136",89.8087094979686
"137",90.838029197914
"138",92.185294588907
"139",90.172489345152
"140",91.5161497879021
"141",91.3777075252627
"142",91.4668189463529
"143",91.1330094364976
"144",90.8028808525489
"145",91.3575632417258
"146",91.6923733126807
"147",91.2752632598531
"148",90.3094796644543
"149",89.7469317230681
"150",89.7393448585055
"151",90.3321743917091
"152",90.5690772445754
"153",91.2191880189565
"154",89.8423442426701
"155",91.2523772560312
"156",89.097827998635
"157",91.6534854563599
"158",91.4272363168141
"159",91.9224946025076
"160",91.8084756308639
"161",90.0745161696408
"162",90.9486842133467
"163",90.9913587315199
"164",90.2925579116837
"165",89.6005720585282
"166",90.4548418145362
"167",91.0542389921396
"168",91.4150455837956
"169",91.4106674633632
"170",88.940953279176
"171",91.1297409039386
"172",90.0040552013575
"173",91.6127681417341
"174",89.9117817521933
"175",91.7652351034831
"176",91.6671706870906
"177",91.3655027641309
"178",90.5518198054716
"179",89.1602311020537
"180",90.328622982943
"181",92.0620488378141
"182",89.4420098730477
"183",91.5847252476799
"184",90.867287613498
"185",89.5631179546694
"186",91.13796107182
"187",90.2325943557393
"188",90.9816103846068
"189",90.3262196580731
"190",90.4158529287702
"191",90.4294765497587
"192",90.3189195287955
"193",91.2683486146971
"194",89.5279269415735
"195",90.4523724930644
"196",91.7011589832404
"197",90.2938122760832
"198",89.7144763688991
"199",91.0173505538165
"200",90.5761988577919
"201",89.6222266583599
"202",91.2499763390941
"203",90.1319120661013
"204",90.6662281551089
"205",90.5932731273201
"206",89.4877546850292
"207",89.5248548095739
"208",90.3679258335213
"209",89.6801290093171
"210",91.2689401002212
"211",91.1135772489384
"212",91.5068485909835
"213",90.0035960363123
"214",90.6012689171886
"215",90.915904610857
"216",90.3276855560039
"217",90.8264730929054
"218",90.9162337100053
"219",90.5592319091338
"220",91.110953839729
"221",90.4516226500227
"222",89.8174928458797
"223",90.6665441995739
"224",91.3418819956819
"225",91.3299947821512
"226",90.0085297245464
"227",90.331024193497
"228",90.9947128598684
"229",91.3106851580534
"230",90.2273889731776
"231",88.3902275966798
"232",90.8207771710041
"233",90.6760299614106
"234",89.9956011254632
"235",91.3707716583058
"236",90.50460698578
"237",91.4036253055216
"238",90.2372300080704
"239",89.8011286111216
"240",90.8117444743426
"241",91.7447008996011
"242",91.7299585229549
"243",90.3183155591085
"244",89.3389133514702
"245",90.9811579725495
"246",91.0434289769775
"247",90.064540092888
"248",91.0680899616073
"249",91.4425120169763
"250",91.0719301722917
"251",89.789111386971
"252",89.6776368134605
"253",89.5992730234878
"254",90.2295461722076
"255",91.8701358917211
"256",91.1299230765322
"257",90.7793522868262
"258",90.6877241149584
"259",91.2330161723476
"260",90.5222403559001
"261",90.076786609944
"262",90.9886660383837
"263",89.3029023090038
"264",89.9389313682252
"265",89.5357343393812
"266",89.4446670966938
"267",90.9329097207245
"268",89.0722037034558
"269",90.716290503813
"270",91.4695971285585
"271",90.6970100336252
"272",90.1951663878285
"273",91.8526180594525
"274",90.3017157050186
"275",90.5919855920813
"276",90.2630628937778
"277",91.3527780379748
"278",90.9590586477227
"279",91.114660429539
"280",91.3491248736337
"281",91.5043167903164
"282",90.8436016337173
"283",90.1629668680696
"284",90.4257076523859
"285",91.1209655656886
"286",89.2933312635563
"287",89.7036963543309
"288",90.7918020629195
"289",90.7946351100066
"290",91.0307191804342
"291",89.9466180783455
"292",89.3806039877578
"293",89.5905840808571
"294",91.0574948286319
"295",90.2862729029139
"296",90.5301536354685
"297",90.778317278332
"298",90.8076556035726
"299",91.0559488454527
"300",91.0871165441924
"301",89.9856595400702
"302",91.0438367898204
"303",89.9142846328544
"304",89.831728755743
"305",89.1973646247424
"306",89.8567225550136
"307",91.7724977252977
"308",90.6485297044781
"309",89.9184607881885
"310",90.7378302824159
"311",90.5615211838393
"312",90.8259840615691
"313",89.5857364991572
"314",90.2278916370799
"315",89.5139292971835
"316",90.7213601091498
"317",90.1591452935911
"318",90.6910618822114
"319",89.8565556116521
"320",89.8008151530808
"321",89.6757321560942
"322",90.0259908295026
"323",91.4841714557534
"324",90.3998525972747
"325",90.5825507003337
