,PC1,PC2,Indice
126,282.9057191,29.90174452,90.69932405
127,274.8193887,31.19229533,89.27439665
128,290.0058732,33.69877615,91.85981081
129,284.0644206,30.1511183,90.52784525
130,281.686788,32.54684146,90.50722735
131,285.0750202,32.75057593,91.19185102
132,274.3152979,33.55893856,89.45970536
133,282.6591099,34.36107725,90.64316593
134,280.8717922,33.9770178,90.35603581
135,276.4509451,35.8590574,89.8087095
136,282.9184283,33.38915261,90.8380292
137,292.748629,32.97721404,92.18529459
138,279.5430616,31.79238428,90.17248935
139,287.2487872,28.39530993,91.51614979
140,288.7707485,28.09732475,91.37770753
141,289.0083071,28.83318009,91.46681895
142,286.331609,34.57696474,91.13300944
143,284.3740754,30.59349828,90.80288085
144,288.434005,29.93092363,91.35756324
145,290.415144,33.07328571,91.69237331
146,286.2473822,29.56259534,91.27526326
147,280.5044402,33.17651533,90.30947966
148,276.794209,34.44864579,89.74693172
149,276.7280651,36.1027212,89.73934486
150,281.442333,33.5324658,90.33217439
151,281.2302966,32.98139633,90.56907724
152,286.4244288,33.02793764,91.21918802
153,278.1909659,36.59512418,89.84234424
154,288.1017971,35.02761592,91.25237726
155,273.437519,31.23401509,89.097828
156,289.0007692,32.92523793,91.65348546
157,286.9984933,33.82193931,91.42723632
158,291.3815535,29.75468436,91.9224946
159,290.8525087,30.38548024,91.80847563
160,278.4011481,37.06932863,90.07451617
161,285.026876,33.89697887,90.94868421
162,284.8043963,30.68752298,90.99135873
163,281.6367863,32.74910425,90.29255791
164,276.6506989,29.73983729,89.60057206
165,281.3592664,35.49441823,90.45484181
166,286.0432165,33.91501665,91.05423899
167,287.4707385,33.3384587,91.41504558
168,286.691023,33.60342204,91.41066746
169,271.3526779,34.56037993,88.94095328
170,284.450528,35.02488538,91.1297409
171,278.300362,32.47177922,90.0040552
172,289.3850568,29.58748563,91.61276814
173,278.6833596,32.5997557,89.91178175
174,290.6703038,28.9364649,91.7652351
175,289.5823475,33.0567265,91.66717069
176,286.3553191,35.35787656,91.36550276
177,282.9163851,31.15682707,90.55181981
178,274.6793749,34.56996646,89.1602311
